Subject;RASSETS.RAS01.;RASSETS.RAS02.;RASSETS.RAS03.;RASSETS.RAS04.;RASSETS.RAS05.;SUSCEP.SAS01.;SUSCEP.SAS02.;SUSCEP.SAS03.;RTPROV.TP01.;RTPROV.TP02.;RTPROV.TP03.;RTPROV.TP04.;RTPROV.TP05.;RTPROV.RP01.;RTPROV.RP02.;RTPROV.RP03.;RTPROV.RP04.;RTPROV.RP05.;QSA6.SA601.;QSA6.SA602.;QSA6.SA603.;QSA6.SA604.;QSA6.SA605.;QSA6.SA606.;QIUIPC1.IUI01.;QIUIPC1.IUI02.;QIUIPC1.IUI03.;QIUIPC1.IUI04.;QIUIPC1.IUI05.;QIUIPC1.IUI06.;QIUIPC1.IUI07.;QIUIPC1.IUI08.;Case;WTD_MouseDynamics;WTD_KeystrokeDynamics;WTD_FaceRecognition;WTD_IrisRecognition;WTD_Fingerprint;WTD_Voice;WTD_TouchDynamics;WTD_Profiling;WTD_ConnectionData;WTD_DeviceStatistics;WTD_Location;WTD_ECG;WTD_EEG;WTD_Move;WTD_Gait;EFFIC_MouseDynamics;EFFIC_KeystrokeDynamics;EFFIC_FaceRecognition;EFFIC_IrisRecognition;EFFIC_Fingerprint;EFFIC_Voice;EFFIC_TouchDynamics;EFFIC_Profiling;EFFIC_ConnectionData;EFFIC_DeviceStatistics;EFFIC_Location;EFFIC_ECG;EFFIC_EEG;EFFIC_Move;EFFIC_Gait;RISK_MouseDynamics;RISK_KeystrokeDynamics;RISK_FaceRecognition;RISK_IrisRecognition;RISK_Fingerprint;RISK_Voice;RISK_TouchDynamics;RISK_Profiling;RISK_ConnectionData;RISK_DeviceStatistics;RISK_Location;RISK_ECG;RISK_EEG;RISK_Move;RISK_Gait;Highest.education.level.completed;Household.income.;Age ;Sex;Ethnicity.simplified;Country.of.residence;Nationality;Language
36;6;6;7;7;6;2;2;2;5;6;6;6;6;6;6;6;3;5;4;4;4;4;4;4;6;6;6;7;6;6;6;6;onlineshopping;36;62;15;17;33;16;36;38;30;44;44;42;2;33;41;73;70;70;78;77;84;77;78;69;78;76;79;76;76;74;79;88;93;77;86;82;87;86;80;90;88;84;100;90;90;High school diploma/A-levels;$20000-$29999;25-34;Male;White;United States;United States;English
37;7;6;7;7;7;2;2;2;6;6;4;4;3;6;6;6;5;3;4;4;3;3;3;4;7;6;7;7;4;5;4;4;messaging;100;100;0;0;27;0;100;29;100;100;49;90;97;100;3;98;100;100;100;100;100;98;94;63;95;59;94;99;43;36;0;33;100;100;68;100;4;91;0;42;94;12;71;9;32;High school diploma/A-levels;$10000-$15999;65-74;Female;White;United States;United States;English
38;7;7;7;7;7;2;1;2;7;6;7;7;6;3;2;2;2;1;1;4;4;2;2;4;7;6;7;7;1;6;1;1;banking;100;100;86;95;25;4;100;83;100;100;100;0;1;100;100;70;66;100;100;100;71;67;70;100;88;100;30;7;66;63;0;35;79;75;8;85;15;76;27;85;100;100;100;63;1;High school diploma/A-levels;$90000-$99999;45-54;Male;White;United States;United States;English
39;7;7;7;7;7;2;2;2;1;1;1;1;1;7;7;7;7;7;5;5;5;5;5;5;7;7;7;7;7;7;7;7;onlineshopping;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;68;84;100;71;100;70;0;0;0;100;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Graduate degree (MA/MSc/MPhil/other);$70000-$79999;35-44;Male;Mixed;United States;United States;English
40;7;7;7;7;7;4;1;4;2;2;2;2;2;6;6;6;6;6;4;4;4;4;4;4;7;7;7;7;7;7;7;7;socialmedia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Undergraduate degree (BA/BSc/other);$90000-$99999;18-24;Male;White;United States;United States;English
41;7;7;7;7;7;3;3;3;4;2;4;3;3;6;6;6;6;6;5;5;3;5;4;2;6;6;5;7;3;7;7;6;video;89;86;86;88;85;89;84;47;87;81;91;88;87;81;91;50;68;93;90;94;100;64;55;95;52;97;48;53;53;35;50;87;100;71;90;84;50;50;80;50;82;50;50;50;50;Undergraduate degree (BA/BSc/other);$30000-$39999;25-34;Female;White;United States;United States;English
42;7;7;7;7;7;2;2;4;5;5;5;5;4;5;5;5;2;5;5;4;4;5;5;4;7;7;7;7;5;5;5;5;cloud;100;100;32;12;0;8;100;66;0;91;78;100;79;100;100;55;60;100;74;100;100;57;59;91;62;100;0;12;63;42;0;0;100;36;88;100;7;9;70;7;100;0;4;25;0;High school diploma/A-levels;$40000-$49999;35-44;Male;White;United States;United States;English
43;5;5;5;5;5;2;2;4;4;4;2;4;4;7;5;7;6;6;4;4;4;4;4;4;7;7;7;7;7;7;7;7;music;22;17;0;0;0;0;29;0;0;9;0;0;0;5;9;0;8;86;87;91;66;28;29;65;57;59;41;42;33;31;24;20;100;75;84;100;24;72;69;50;100;31;46;27;26;High school diploma/A-levels;$40000-$49999;25-34;Male;Other;United States;United States;English
44;7;7;7;6;7;2;1;3;2;3;3;4;2;5;5;6;4;5;4;5;5;2;5;4;6;5;7;7;6;6;7;7;cloud;71;62;0;0;88;0;74;7;100;43;61;0;0;52;29;34;13;100;100;100;91;28;32;91;24;89;45;48;0;18;0;0;100;100;100;89;0;34;66;49;87;74;73;0;3;No formal qualifications;$20000-$29999;25-34;Female;White;United States;United States;English
45;6;6;6;7;2;4;3;4;3;3;4;4;4;5;5;4;4;3;2;2;2;3;2;3;3;4;4;2;4;4;3;3;messaging;67;65;0;24;10;5;47;2;50;68;0;5;9;61;0;21;43;34;65;94;58;18;27;83;33;74;61;59;75;100;31;68;98;96;100;79;41;51;31;30;88;27;56;39;76;Technical/community college;Less than $10000;35-44;Male;White;United States;United States;English
